# 2 MBONs, 4 MBONs, 8 MBONs, 16 MBONs, 
1.981356239318847656e+01,1.980146467685699463e-01,1.102853342890739441e-01,1.382072716951370239e-01
1.122309589385986328e+01,1.601488441228866577e-01,9.286841750144958496e-02,1.101112291216850281e-01
9.631330490112304688e+00,1.345311999320983887e-01,6.763033568859100342e-02,6.783629953861236572e-02
6.591461658477783203e+00,1.288035511970520020e-01,5.211107432842254639e-02,4.924109205603599548e-02
5.171743392944335938e+00,1.103440001606941223e-01,4.633308947086334229e-02,3.984317556023597717e-02
5.427730083465576172e+00,1.065654009580612183e-01,4.985071346163749695e-02,4.084509611129760742e-02
3.537180662155151367e+00,1.108208671212196350e-01,4.110618680715560913e-02,3.914130851626396179e-02
2.791162014007568359e+00,1.030540391802787781e-01,3.439799696207046509e-02,4.153782501816749573e-02
2.467817544937133789e+00,8.017016202211380005e-02,3.775143250823020935e-02,3.291861712932586670e-02
1.763264298439025879e+00,8.184318244457244873e-02,3.586266934871673584e-02,2.966292575001716614e-02
